ticker,company,year,quarter,sentiment_score,positive_count,negative_count,sentiment,filing_path
MSFT,Microsoft Corporation,2021,3,1.0,312,0,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-210827/full-submission.txt
MSFT,Microsoft Corporation,2022,1,0.9626168224299065,315,6,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-22-010667/full-submission.txt
MSFT,Microsoft Corporation,2023,4,0.9872611464968153,312,2,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-23-291720/full-submission.txt
MSFT,Microsoft Corporation,2024,3,0.9573333333333334,367,8,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-24-204403/full-submission.txt
MSFT,Microsoft Corporation,2023,1,0.8771929824561403,321,21,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-23-014230/full-submission.txt
MSFT,Microsoft Corporation,2023,4,1.0,300,0,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-23-255762/full-submission.txt
MSFT,Microsoft Corporation,2021,2,0.9544159544159544,343,8,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-134213/full-submission.txt
MSFT,Microsoft Corporation,2021,1,0.9516616314199395,323,8,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-065751/full-submission.txt
MSFT,Microsoft Corporation,2024,1,1.0,302,0,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-24-011295/full-submission.txt
MSFT,Microsoft Corporation,2021,3,0.8823529411764706,416,26,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-225746/full-submission.txt
MSFT,Microsoft Corporation,2023,4,0.7543859649122807,1050,147,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-23-271376/full-submission.txt
MSFT,Microsoft Corporation,2023,3,0.9523809523809523,369,9,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-23-181341/full-submission.txt
MSFT,Microsoft Corporation,2024,4,0.9640718562874252,328,6,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0000950170-24-118955/full-submission.txt
MSFT,Microsoft Corporation,2021,2,1.0,312,0,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-167940/full-submission.txt
MSFT,Microsoft Corporation,2023,4,1.0,281,0,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001104659-23-109428/full-submission.txt
MSFT,Microsoft Corporation,2024,4,0.4580962993372823,12431,4620,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0000950170-24-132722/full-submission.txt
MSFT,Microsoft Corporation,2023,3,0.7911832946635731,386,45,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0000950170-23-034400/full-submission.txt
MSFT,Microsoft Corporation,2022,2,1.0,300,0,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-22-165839/full-submission.txt
MSFT,Microsoft Corporation,2022,4,0.911504424778761,324,15,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-22-268356/full-submission.txt
MSFT,Microsoft Corporation,2021,1,0.9656160458452722,343,6,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-017683/full-submission.txt
MSFT,Microsoft Corporation,2022,2,0.9529411764705882,332,8,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-22-120207/full-submission.txt
MSFT,Microsoft Corporation,2021,2,1.0,312,0,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-192783/full-submission.txt
MSFT,Microsoft Corporation,2021,1,0.9752321981424149,319,4,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-044940/full-submission.txt
MSFT,Microsoft Corporation,2024,3,0.9536231884057971,337,8,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0000950170-24-087835/full-submission.txt
MSFT,Microsoft Corporation,2021,4,0.9528023598820059,331,8,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-307941/full-submission.txt
MSFT,Microsoft Corporation,2022,3,0.8290993071593533,396,37,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-22-202034/full-submission.txt
MSFT,Microsoft Corporation,2023,4,0.9525222551928784,329,8,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0000950170-23-054848/full-submission.txt
MSFT,Microsoft Corporation,2024,1,0.9473684210526315,333,9,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0000950170-24-008809/full-submission.txt
MSFT,Microsoft Corporation,2022,1,0.9644970414201184,332,6,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-22-017041/full-submission.txt
MSFT,Microsoft Corporation,2022,4,1.0,311,0,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-22-306591/full-submission.txt
MSFT,Microsoft Corporation,2021,1,0.9708454810495627,338,5,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-21-084239/full-submission.txt
MSFT,Microsoft Corporation,2023,2,0.9228486646884273,324,13,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-23-115280/full-submission.txt
MSFT,Microsoft Corporation,2023,1,0.9742765273311897,307,4,positive,data/raw/earnings_filings/sec-edgar-filings/MSFT/8-K/0001193125-23-009934/full-submission.txt
GOOGL,Alphabet Inc.,2021,2,0.9386503067484663,316,10,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-21-182989/full-submission.txt
GOOGL,Alphabet Inc.,2022,3,0.8827160493827161,305,19,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-22-000068/full-submission.txt
GOOGL,Alphabet Inc.,2022,4,1.0,291,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-22-310153/full-submission.txt
GOOGL,Alphabet Inc.,2021,1,0.8802395209580839,314,20,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-21-000006/full-submission.txt
GOOGL,Alphabet Inc.,2021,4,0.901840490797546,310,16,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-21-000054/full-submission.txt
GOOGL,Alphabet Inc.,2021,1,1.0,291,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-21-069770/full-submission.txt
GOOGL,Alphabet Inc.,2024,1,0.9863013698630136,290,2,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-24-000032/full-submission.txt
GOOGL,Alphabet Inc.,2024,2,1.0,293,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-24-154725/full-submission.txt
GOOGL,Alphabet Inc.,2024,2,1.0,288,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-24-168745/full-submission.txt
