ticker,company,year,quarter,report_date,sentiment_score,sentiment,return_1d,target,pre_return,pre_volume_change,pre_rsi
AAPL,Apple Inc.,2024,3,2024-08-15 00:00:00-04:00,1.0,positive,0.5918512725632707,0,1.1345186264523388,-7.00267211131878,56.03257931667093
AAPL,Apple Inc.,2021,1,2021-02-16 00:00:00-05:00,1.0,positive,-1.7643973257157164,-1,-0.28190766475738593,-3.9018416744016906,32.966832402052574
AAPL,Apple Inc.,2023,2,2023-05-15 00:00:00-04:00,0.975609756097561,positive,0.0,0,-0.08553073369175657,-13.40813610004084,65.65803570276097
AAPL,Apple Inc.,2024,3,2024-08-15 00:00:00-04:00,0.9586466165413534,positive,0.5918512725632707,0,1.1345186264523388,-7.00267211131878,56.03257931667093
AAPL,Apple Inc.,2021,3,2021-08-16 00:00:00-04:00,0.9090909090909091,positive,-0.6154148803149018,0,0.40546792852823144,6.588392169275247,51.35118760618277
AAPL,Apple Inc.,2022,2,2022-05-16 00:00:00-04:00,0.9813519813519813,positive,2.542263070311823,1,-1.2779304620345935,3.013557216994799,37.44370487220578
AAPL,Apple Inc.,2022,3,2022-08-15 00:00:00-04:00,0.9808612440191388,positive,-0.09239231550194349,0,0.8117767462858438,4.539663007599781,81.62647833426442
AAPL,Apple Inc.,2021,1,2021-02-16 00:00:00-05:00,0.9811320754716981,positive,-1.7643973257157164,-1,-0.28190766475738593,-3.9018416744016906,32.966832402052574
AAPL,Apple Inc.,2024,3,2024-08-15 00:00:00-04:00,0.9948979591836735,positive,0.5918512725632707,0,1.1345186264523388,-7.00267211131878,56.03257931667093
AAPL,Apple Inc.,2021,2,2021-05-17 00:00:00-04:00,0.9811764705882353,positive,-1.1245828358358079,-1,-0.4077804205430603,3.085900474033994,35.15156729096496
AAPL,Apple Inc.,2024,3,2024-08-15 00:00:00-04:00,0.9847328244274809,positive,0.5918512725632707,0,1.1345186264523388,-7.00267211131878,56.03257931667093
AAPL,Apple Inc.,2021,3,2021-08-16 00:00:00-04:00,0.9810874704491725,positive,-0.6154148803149018,0,0.40546792852823144,6.588392169275247,51.35118760618277
AAPL,Apple Inc.,2024,2,2024-05-15 00:00:00-04:00,0.9847715736040609,positive,0.06325129064754798,0,0.5761422356320423,-2.943711190937435,77.34470459282686
AAPL,Apple Inc.,2022,4,2022-11-15 00:00:00-05:00,0.9809523809523809,positive,-0.8331371743727001,0,1.3948561861812523,1.3910709005065343,46.69191287937714
AAPL,Apple Inc.,2024,1,2024-02-15 00:00:00-05:00,0.9847715736040609,positive,-0.8430459486515995,0,-0.534934311482258,2.2711093081076674,29.062275412911774
AAPL,Apple Inc.,2023,4,2023-11-15 00:00:00-05:00,0.980440097799511,positive,0.9042129627399254,0,0.6436509860704964,1.1348958231326847,76.74350366606015
AAPL,Apple Inc.,2024,2,2024-05-15 00:00:00-04:00,0.9373695198329853,positive,0.06325129064754798,0,0.5761422356320423,-2.943711190937435,77.34470459282686
AAPL,Apple Inc.,2021,4,2021-11-15 00:00:00-05:00,0.9764705882352941,positive,0.6666775002191816,0,-0.16514589708926497,4.11301400992142,54.27261687197562
AAPL,Apple Inc.,2023,2,2023-05-15 00:00:00-04:00,0.9032882011605415,positive,0.0,0,-0.08553073369175657,-13.40813610004084,65.65803570276097
AAPL,Apple Inc.,2021,1,2021-02-16 00:00:00-05:00,1.0,positive,-1.7643973257157164,-1,-0.28190766475738593,-3.9018416744016906,32.966832402052574
AAPL,Apple Inc.,2023,1,2023-02-15 00:00:00-05:00,0.9705882352941176,positive,-1.0429375777430416,-1,-0.1505264766892367,-5.129260428150899,68.17738165255139
AAPL,Apple Inc.,2021,1,2021-02-16 00:00:00-05:00,0.9,positive,-1.7643973257157164,-1,-0.28190766475738593,-3.9018416744016906,32.966832402052574
AAPL,Apple Inc.,2022,3,2022-08-15 00:00:00-04:00,0.9535714285714286,positive,-0.09239231550194349,0,0.8117767462858438,4.539663007599781,81.62647833426442
AAPL,Apple Inc.,2022,1,2022-02-15 00:00:00-05:00,0.95,positive,-0.13891625934050467,0,-0.31267229878465086,3.106563611216539,63.69992510457958
AAPL,Apple Inc.,2022,1,2022-02-15 00:00:00-05:00,0.9811320754716981,positive,-0.13891625934050467,0,-0.31267229878465086,3.106563611216539,63.69992510457958
AAPL,Apple Inc.,2021,4,2021-11-15 00:00:00-05:00,0.967479674796748,positive,0.6666775002191816,0,-0.16514589708926497,4.11301400992142,54.27261687197562
AAPL,Apple Inc.,2023,1,2023-02-15 00:00:00-05:00,1.0,positive,-1.0429375777430416,-1,-0.1505264766892367,-5.129260428150899,68.17738165255139
AAPL,Apple Inc.,2022,3,2022-08-15 00:00:00-04:00,0.9090909090909091,positive,-0.09239231550194349,0,0.8117767462858438,4.539663007599781,81.62647833426442
AAPL,Apple Inc.,2022,4,2022-11-15 00:00:00-05:00,0.9853658536585366,positive,-0.8331371743727001,0,1.3948561861812523,1.3910709005065343,46.69191287937714
AAPL,Apple Inc.,2024,1,2024-02-15 00:00:00-05:00,1.0,positive,-0.8430459486515995,0,-0.534934311482258,2.2711093081076674,29.062275412911774
AAPL,Apple Inc.,2023,3,2023-08-15 00:00:00-04:00,0.9803439803439803,positive,-0.49590510802790533,0,0.09707011857477577,-14.363867677970338,24.697375858344472
AAPL,Apple Inc.,2024,4,2024-11-15 00:00:00-05:00,0.9796954314720813,positive,1.3422266547766126,1,0.09045679289466202,1.889196575611935,44.72325659424754
